347719	0.0725176	-0.164126	-0.357205
352322	0.0719960	-0.165281	-0.357315
355066	0.0719674	-0.165379	-0.357217
356321	0.0719466	-0.165438	-0.357247
356338	0.0719549	-0.165457	-0.357229
356388	0.0719526	-0.165461	-0.357239
356438	0.0719599	-0.165470	-0.357250
356450	0.0719550	-0.165451	-0.357222
356484	0.0719170	-0.165451	-0.357254
356511	0.0719415	-0.165475	-0.357229
356560	0.0719401	-0.165479	-0.357216
356566	0.0719226	-0.165474	-0.357249
356574	0.0719506	-0.165468	-0.357227
356589	0.0719476	-0.165460	-0.357242
356700	0.0719477	-0.165509	-0.357256
356780	0.0719661	-0.165514	-0.357239
356803	0.0719565	-0.165545	-0.357254
356891	0.0719651	-0.165497	-0.357251
356939	0.0719750	-0.165555	-0.357241
356957	0.0719620	-0.165570	-0.357244
356993	0.0719746	-0.165569	-0.357225
357014	0.0719765	-0.165597	-0.357261
357084	0.0719760	-0.165595	-0.357263
357210	0.0719673	-0.165600	-0.357268
357306	0.0719698	-0.165613	-0.357275
357339	0.0719691	-0.165600	-0.357283
357403	0.0719723	-0.165607	-0.357281
357443	0.0719356	-0.165584	-0.357275
357503	0.0719634	-0.165599	-0.357256
357557	0.0719779	-0.165596	-0.357266
357623	0.0719789	-0.165685	-0.357282
357693	0.0719740	-0.165624	-0.357264
357710	0.0719542	-0.165563	-0.357232
357735	0.0720300	-0.166172	-0.356776
357754	0.0720149	-0.165738	-0.357283
357756	0.0719744	-0.166233	-0.356899
357776	0.0720015	-0.166112	-0.356874
357814	0.0720660	-0.166016	-0.356922
357815	0.0720743	-0.166020	-0.356895
357885	0.0720905	-0.165600	-0.357668
357895	0.0720294	-0.165541	-0.357817
357898	0.0720295	-0.166135	-0.356891
357899	0.0720025	-0.166170	-0.356855
